time,lon,lat,u10,v10,cdir,msl,msdwlwrf,r,rainfall,temp
07-06-1979,83,25.5,-2.702880235,0.130653816,1337.565135,99866.93926,395.0351812,66.94507721,0,44.30698395
08-06-1979,83,25.5,-2.263182481,-0.378769425,1221.255123,99862.99085,410.3024783,77.3868581,0,43.95531082
09-06-1979,83,25.5,-4.082980629,-2.415715431,1148.561366,99816.6336,418.0418905,74.11379121,0,42.97870255
10-06-1979,83,25.5,-4.719835582,-0.787353754,1090.40636,99848.36711,418.5582661,77.22927556,0,39.55205917
11-06-1979,83,25.5,-4.74959516,-1.147386014,959.5575969,99929.09015,428.3507379,72.39329985,0,40.40886688
12-06-1979,83,25.5,-3.713217882,-2.214037608,901.4025911,99935.08589,435.7604163,55.21680277,5.096209526,39.77722931
13-06-1979,83,25.5,-3.570371912,-0.511727396,828.7088337,99961.70109,419.3670471,55.36405203,9.852927208,35.33078766
14-06-1979,83,25.5,-1.888211808,-0.726103452,828.7088337,99995.77441,418.8133432,43.52469482,0,36.50160217
15-06-1979,83,25.5,-2.609881556,-0.37652856,828.7088337,100031.1639,421.3889997,35.39240232,0,38.49602127
16-06-1979,83,25.5,-2.624761345,-0.006038931,828.7088337,100171.2593,417.4695224,60.13027809,0,38.87426758
17-06-1979,83,25.5,-1.769173499,0.466036565,828.7088337,100108.0847,426.8700465,48.81275159,0,39.99584198
18-06-1979,83,25.5,-1.773637436,0.319633405,770.5538278,100008.0583,435.4804536,45.65335079,0,42.58632278
19-06-1979,83,25.5,-1.667990937,2.114566024,770.5538278,99924.41056,425.9803873,38.34513749,0,41.99265289
20-06-1979,83,25.5,-2.691720394,0.625137958,697.8600705,99862.99085,435.6422098,31.40375568,0,41.10281372
21-06-1979,83,25.5,-2.667912732,0.472759159,639.7050646,99721.14058,444.3334951,66.95282717,0.998635173,41.49407578
22-06-1979,83,25.5,-3.085290803,-1.197431992,508.8563014,99829.9412,434.3419388,73.24321225,0.449662924,36.92502975
23-06-1979,83,25.5,-1.526632945,-0.641697549,508.8563014,99623.30777,436.8367172,74.85003751,0,36.44979858
24-06-1979,83,25.5,-3.222184858,-0.124057804,450.7012955,99637.34656,432.4817425,67.41007487,0.105404779,37.64435959
25-06-1979,83,25.5,-4.077772703,-1.384917672,450.7012955,99620.82173,437.6641624,50.89232449,0,38.16765976
26-06-1979,83,25.5,-4.77563479,-1.313956956,378.0075382,99460.69179,438.7280205,46.53167972,0,36.66445541
27-06-1979,83,25.5,-2.443971913,-0.402671981,378.0075382,99377.77519,450.8846214,62.55601591,0.105404779,37.12429047
28-06-1979,83,25.5,0.854877223,0.311416901,319.8525323,99319.71894,444.949413,76.67902832,0,39.19651794
29-06-1979,83,25.5,2.257297301,0.444374873,319.8525323,99408.92375,441.6396322,73.54804405,33.48863602,37.28843689
30-06-1979,83,25.5,3.531007206,-0.052350134,189.0037691,99367.68481,447.4255272,45.98918244,35.81103516,32.26381683
01-07-1979,83,25.5,6.278560175,1.333251201,319.8525323,99053.42065,439.6736721,41.43478865,0.834189773,30.21940231
02-07-1979,83,25.5,5.887221734,1.596179325,319.8525323,99137.50715,431.9404813,70.84589095,0,33.45794296
03-07-1979,83,25.5,3.636653706,1.673862634,319.8525323,99672.15106,408.8466725,85.21690212,0,35.8502121
04-07-1979,83,25.5,1.544555426,0.581814574,189.0037691,99927.04283,439.829207,88.87230043,8.301594734,37.73767853
05-07-1979,83,25.5,2.657563614,-1.767358579,189.0037691,99900.86634,428.9293274,95.34868457,0,37.01375198
06-07-1979,83,25.5,1.845871145,0.777516757,189.0037691,99861.67472,429.0039841,93.7160261,0,37.01251221
